id,passage
91af0ab2c9687901,"Dans l'azup Lyonnaise des Minguettes, le jeune Toumi Jaïdia est grièvement blessé par un policier qui lui tire dessus à bout portant alors qu'il était en train de sauver un ami en difficulté"
91af0ab2c9687901,"Toumi Djaïdia, Christian Delorme et les autres doivent affiner leur discours"
EdkwXf2-bLQ,"Alors, on l'a vu dans le sujet tout à l'heure, qui nous rappelait les conditions de la création de cette marche pour l'égalité et contre le racisme, qui vient au fond d'une bavure policière, puisque Toumi Jaïda prend une balle tirée dans le ventre par un policier lors de l'altercation qui a été racontée"
cBAs4ZiDOJM,"J'ai lu que Toumi Jaïda, l'homme qui a reçu une balle d'un CRS et qui a provoqué aussi cette émotion et la marche qui a suivi, avait refusé de rencontrer François Lamy, le ministre de la banlieue, à cette occasion-là, le ministre de la Ville à cette occasion-là, pour commémorer la marche"
18723-09.02.2022-ITEMA_22927619-2022C29631E0028-21,"Écoutez ce que disait à sa sortie de l'Élysée le jeune homme qui fut à l'origine de cette marche, Toumi Djadja"
18723-09.02.2022-ITEMA_22927619-2022C29631E0028-21,Je trouve l'adresse mail de Toumi Jaïdja
18723-09.02.2022-ITEMA_22927619-2022C29631E0028-21,"Toumi Jaïdja est alors le jeune président de l'association SOS Avenir Minguet, créée après les violents affrontements avec les forces de l'ordre du 21 mars 1983 et la grève de la faim qui s'en est suivie du 28 mars au 7 avril"
hRNrItDrRac,"Parmi ces inconnus qui prennent le bitume, il y a Toumi Jahida"
5834c8a963ec1b03,Et Toumi Jéja intervient et le maître chien dégaine son arme et tire
5834c8a963ec1b03,"Retenez bien ce nom, Toumi Jahidin"
5834c8a963ec1b03,"Lorsque Toumi Jaheddin se fait tirer dessus par un policier quelques semaines plus tard, c'est sous les yeux de ses camarades"
5834c8a963ec1b03,"Écoutez ce que disait à sa sortie de l'Elysée le jeune homme qui fut à l'origine de cette marche, Toumi Djadja"
5acf18a69bdbbdf0,Et Toumi Jéja intervient et le maître chien dégaine son arme et tire
5acf18a69bdbbdf0,"Retenez bien ce nom, Toumi Jahidin"
5acf18a69bdbbdf0,"Lorsque Toumi Jaheddin se fait tirer dessus par un policier quelques semaines plus tard, c'est sous les yeux de ses camarades"
5acf18a69bdbbdf0,"Écoutez ce que disait à sa sortie de l'Elysée le jeune homme qui fut à l'origine de cette marche, Toumi Djadja"
5acf18a69bdbbdf0,"De telle sorte qu'avant Toumi Jaïdja, il y avait son grand frère qui s'appelait Amar Jaïdja, qui était appelé le petit prince de Minguet"
rtEGLbm0lOk,"Il a dit, oui, à la carte de 10 ans, il y a l'AFP derrière la porte, vous le dites bien, ce qu'a fait Toumi Djadja, ce que vous avez vu, voilà"
x17lnai,"Et puis finalement j'ai suivi parce que la marche pour l'égalité, elle a pour départ finalement la balle que Toumi Djedja a reçue tirée par un policier dans la nuit du 19 au 20 juin 1983"
x17lnai,"Nabil Ben y a dit, quels a été les cueils à éviter pour écrire Le Saint-Honoré et faire le film ? Je vous pose la question parce que je lisais notamment ce que dit le sociologue Adil Jazouli qui vient de publier La marche pour l'égalité aux éditions de l'Aube et un livre d'entretien avec Toumi Jahida"
P4p7JpgtEU0,"Elle est composée de huit personnes, quatre Français et quatre immigrés, dont le jeune Toumi Jaïjak, des Maguettes à Vinicieux, qui est à l'origine effectivement de cette marche"
x183aa7,"Au bout de 45 étapes, le mouvement a gagné un combat, car ce 3 décembre, Toumi Jaïdja et les marcheurs permanents sont reçus à l'Elysée par François Mitterrand"
XMHyZ2WOv3I,"Toumi Jaïdja est à l'origine d'un événement sans précédent, qui a marqué l'histoire de France"
XMHyZ2WOv3I,"Il y a quelques jours, on a eu l'occasion d'écouter le témoignage de Toumi Djeda"
0bcbf428fbd4d2a4,Malika ? Voilà d'après ce que je sais c'est qu'on a tiré sur Toumi Djedja car il défendait un jeune qui se faisait mordre par un chien policier
0bcbf428fbd4d2a4,"Toumi Djadja, qui était président des SOS Avenir Minguet"
4fed2215f2355605,"Pour déjouer l'état de siège qui s'ensuit, onze jeunes parmi lesquels Toumi Djidja lancent une grève de la faim et créent l'association SOS Avenir Maguette"
CsuKhJFKwBw,"Le projet d'une marche pacifique pour l'égalité prendra naissance autour du lit d'hôpital de Toumi Jaïdja, victime d'un policier, le 20 juin 1983"
x17lndv,"SOS Manguet, et effectivement, Toumi Djedja évoque ce qui va précéder la marche, des jeunes qui sont issus de quartiers relégués, et ce que je trouve très intéressant dans le commentaire, c'est que ce qu'ils proposent de faire, ça relève du droit commun en fait"
x17lndv,"le compose, avec un leader qui n'est pas tout à fait leader, Toumi Djedja, dont on a fait une sorte de présentation absolue"
VDC14005269,"Depuis fin 82, les rapports avec Toumi Dje Dja ont été des rapports
Il a contribué notamment dans les différents éléments et événements qui sont produits sur Montmousseau à avoir un rôle très apaisant et on peut dire aujourd'hui que le travail qui a été fait notamment a permis d'engager l'opération de réhabilitation du quartier mais surtout a provoqué la création notamment à la suite de la marche de toute une série d'associations qui ont été
ont vu l'intégration au sein de celle-ci de jeunes"
VDC14005468,"Cette autonomie s'exprime particulièrement dans un discours qui prône le droit à la ressemblance et qui s'interroge sur le sens de l'acte de paix de celui qui reste le symbole de la marche, Toumi Djaïja"
VDC14005468,"Toumi Djaïja, aujourd'hui derrière les barreaux de la prison Saint-Paul de Lyon"
PAC03002355,"Et puis cette idée de la marche, elle va ressurgir lorsque Toumi Djadja va manquer mourir à la suite d'une balle tirée par un policier"
427040.014,"Alors, l'histoire de la marche Toumi Dja Dja, c'est aussi votre histoire"
427040.014,"ça a été quoi pour vous de participer à ce film et de jouer le rôle justement de Toumi Dje Dje ?
Ça a été une expérience assez incroyable"
427040.014,"Mais il reste toujours, dans les mêmes lieux qu'a connus Toumi Djeidja, une question sociale qui ne fait qu'une partie"
427040.014,Je veux laisser le dernier mot à Toumi Dja Dja
427688.055,"Les lendemains ont été un peu décevants quand même, non ?
– Écoutez, Toumi, il dit lui-même, je reprends les phrases de Toumi Djaïja, parce qu'il a vécu de l'intérieur, ils n'étaient pas prêts pour ça"
428354.042,"La décision de faire la marche, c'est dans la nuit du 19 au 20 juin 1983, où Toumi Dja Dja, président de l'association SOS Avenir Manguette, prend une balle dans l'abdomen, y survit et propose au monde de l'association et à la CIMAD de lancer le mouvement"
428354.042,"Et moi, je maintiens l'idée qu'un Toumi Dja Dja et d'autres, au Menguet à l'époque, revendiquaient plus de France républicaine !
C'était ça leur revendication sur les banderoles"
428354.056,"Pour moi, en fait, ma question, il y a quelques jours, on a eu l'occasion d'écouter le témoignage de Toumi Djedda"
428866.026,"On évoquait Jamel Attala, des leaders quand même charismatiques, Toumi Dja Dja et autres"
468902.023,"Pour moi, en fait, ma question, il y a quelques jours, on a eu l'occasion d'écouter le témoignage de Toumi Jeddah"
1069224.032,"Vous continuez de raconter cette histoire, Toumi Djaïja, et vous la racontez en marchant ?
Vous continuez de marcher ?
— Non, non"
CAB8402217001,"Mitterrand, a profité du jour de Noël pour accorder sa grâce présidentielle au jeune Toumi Djeidja, le fondateur de l'association SOS Minguet, et l'un des initiateurs de la triomphale marche des bords en 1983"
CAB8402217001,"En novembre dernier, Toumi Djeidja avait été condamné à deux ans de prison pour un vol qu'il a toujours affirmé ne pas avoir commis"
CPC06009502,"Toumi Dja Dja, figure, symbole de la marche, allait être reçu à l'Elysée"
